,name,selling_price,km_driven,fuel,transmission
238,2013 Renault Duster,"4,44,999","96,788 km",Diesel,Manual
239,2018 Maruti Celerio,"5,01,199","27,816 km",Petrol,Manual
240,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
241,2015 Tata Nano,"1,87,999","39,703 km",Petrol,Manual
242,2012 Maruti Swift,"2,60,099","1,20,326 km",Diesel,Manual
243,2013 Maruti Swift,"3,40,699","78,932 km",Diesel,Manual
244,2008 Maruti Alto,"1,31,699","43,091 km",Petrol,Manual
245,2013 Maruti Swift Dzire,"3,74,499","76,795 km",Diesel,Manual
246,2013 Maruti Swift Dzire,"3,75,099","66,341 km",Diesel,Manual
247,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
248,2015 Maruti S Cross,"5,39,999","94,544 km",Diesel,Manual
249,2012 Maruti Swift Dzire,"3,05,899","1,18,117 km",Diesel,Manual
250,2014 Maruti Swift,"4,07,199","54,884 km",Diesel,Manual
251,2016 Maruti Swift Dzire,"5,14,599","58,123 km",Diesel,Manual
252,2013 Maruti Swift,"3,40,699","78,932 km",Diesel,Manual
253,2014 Maruti Ritz,"3,37,699","42,295 km",Diesel,Manual
254,2015 Maruti Swift,"4,23,099","46,478 km",Petrol,Manual
255,2014 Honda Amaze,"3,49,599","70,640 km",Diesel,Manual
256,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
257,2018 Maruti Wagon R 1.0,"4,49,699","30,536 km",Petrol,Manual
258,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
259,2018 Maruti Celerio,"5,01,199","27,816 km",Petrol,Manual
260,2012 Maruti Swift Dzire,"2,74,099","1,26,803 km",Diesel,Manual
261,2014 Tata Nano,"1,81,499","31,769 km",Petrol,Manual
262,2012 Maruti Swift,"2,92,299","38,061 km",Diesel,Manual
263,2014 Maruti Swift,"3,70,699","82,367 km",Diesel,Manual
264,2015 Tata Nano,"1,85,999","43,402 km",Petrol,Manual
265,2013 Maruti Swift Dzire,"3,74,499","76,795 km",Diesel,Manual
266,2013 Maruti Swift Dzire,"3,75,099","66,341 km",Diesel,Manual
267,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
268,2013 Maruti Ertiga,"4,59,999","1,12,745 km",Diesel,Manual
269,2012 Maruti Swift Dzire,"3,05,899","1,18,117 km",Diesel,Manual
270,2014 Maruti Swift,"4,07,199","54,884 km",Diesel,Manual
271,2016 Maruti Swift Dzire,"5,14,599","58,123 km",Diesel,Manual
272,2013 Maruti Swift,"3,50,999","83,143 km",Diesel,Manual
273,2014 Maruti Ritz,"3,37,699","42,295 km",Diesel,Manual
274,2015 Maruti Swift,"4,23,099","46,478 km",Petrol,Manual
275,2014 Honda Amaze,"3,49,599","70,640 km",Diesel,Manual
276,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
277,2018 Maruti Wagon R 1.0,"4,49,699","30,536 km",Petrol,Manual
278,2013 Renault Duster,"4,44,999","96,788 km",Diesel,Manual
279,2018 Maruti Celerio,"5,01,199","27,816 km",Petrol,Manual
280,2012 Maruti Swift Dzire,"2,74,099","1,26,803 km",Diesel,Manual
281,2014 Tata Nano,"1,81,499","31,769 km",Petrol,Manual
282,2012 Maruti Swift,"2,60,099","1,20,326 km",Diesel,Manual
283,2012 Maruti Swift,"2,82,099","68,206 km",Diesel,Manual
284,2008 Maruti Alto,"1,31,699","43,091 km",Petrol,Manual
285,2013 Maruti Swift Dzire,"3,74,499","76,795 km",Diesel,Manual
286,2013 Maruti Swift Dzire,"3,03,099","49,944 km",Diesel,Manual
287,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
288,2013 Maruti Ertiga,"4,59,999","1,12,745 km",Diesel,Manual
289,2012 Maruti Swift Dzire,"3,05,899","1,18,117 km",Diesel,Manual
290,2014 Maruti Swift,"4,07,199","54,884 km",Diesel,Manual
291,2016 Maruti Swift Dzire,"5,14,599","58,123 km",Diesel,Manual
292,2013 Maruti Swift,"3,50,999","83,143 km",Diesel,Manual
293,2014 Maruti Ritz,"3,37,699","42,295 km",Diesel,Manual
294,2015 Maruti Swift,"4,23,099","46,478 km",Petrol,Manual
295,2014 Honda Amaze,"3,49,599","70,640 km",Diesel,Manual
296,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
297,2018 Maruti Wagon R 1.0,"4,49,699","30,536 km",Petrol,Manual
298,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
299,2018 Maruti Celerio,"5,01,199","27,816 km",Petrol,Manual
300,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
301,2015 Tata Nano,"1,87,999","39,703 km",Petrol,Manual
302,2012 Maruti Swift,"2,60,099","1,20,326 km",Diesel,Manual
303,2013 Maruti Swift,"3,40,699","78,932 km",Diesel,Manual
304,2015 Tata Nano,"1,85,999","43,402 km",Petrol,Manual
305,2014 Hyundai Xcent,"3,88,699","42,384 km",Petrol,Manual
306,2013 Maruti Swift Dzire,"3,75,099","66,341 km",Diesel,Manual
307,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
308,2015 Maruti S Cross,"5,39,999","94,544 km",Diesel,Manual
309,2012 Maruti Swift Dzire,"3,05,899","1,18,117 km",Diesel,Manual
310,2014 Maruti Swift,"4,07,199","54,884 km",Diesel,Manual
311,2015 Maruti Swift Dzire,"5,09,299","13,258 km",Diesel,Manual
312,2013 Maruti Swift,"3,50,999","83,143 km",Diesel,Manual
313,2014 Maruti Ritz,"3,37,699","42,295 km",Diesel,Manual
314,2015 Maruti Swift,"4,23,099","46,478 km",Petrol,Manual
315,2014 Honda Amaze,"3,49,599","70,640 km",Diesel,Manual
316,2018 Maruti Vitara Brezza,"6,81,899","60,395 km",Diesel,Manual
317,2018 Maruti Wagon R 1.0,"4,24,499","13,375 km",Petrol,Manual
318,2013 Renault Duster,"4,44,999","96,788 km",Diesel,Manual
319,2018 Maruti Celerio,"5,01,199","27,816 km",Petrol,Manual
320,2012 Maruti Swift Dzire,"2,74,099","1,26,803 km",Diesel,Manual
321,2014 Tata Nano,"1,81,499","31,769 km",Petrol,Manual
322,2012 Maruti Swift,"2,60,099","1,20,326 km",Diesel,Manual
323,2014 Maruti Swift,"3,70,699","82,367 km",Diesel,Manual
324,2015 Tata Nano,"1,85,999","43,402 km",Petrol,Manual
325,2013 Maruti Swift Dzire,"3,74,499","76,795 km",Diesel,Manual
326,2013 Maruti Swift Dzire,"3,03,099","49,944 km",Diesel,Manual
327,2014 Maruti Swift Dzire,"3,54,799","76,013 km",Diesel,Manual
